ADM2CD_c,HASC_0,HASC_1,HASC_2,GAUL_0,GAUL_1,GAUL_2,SOV_ISO_A3,SOV_NAME,NAM_1_GAUL,NAM_1_STAT,NAM_1_SRCE,NAM_1_NTVE,NAM_1_WIKI,ADM1CD,ADM1CD_t,ADM1NM,NAM_2_GAUL,NAM_2_STAT,NAM_2_SRCE,NAM_2_NTVE,NAM_2_WIKI,ADM2CD,ADM2CD_t,ADM2NM,P_DATE,SALB_DATE,Layer,Shape_Leng,Shape_Area
CHN001006,CN,CN.AH,,147295,898,12984,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Hefei,,,,,,CHN001006,,2020-09-10,,2,4.66012069341,0.714025558611
CHN001002,CN,CN.AH,,147295,898,12986,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Bengbu,,,,,,CHN001002,,2020-09-10,,2,3.86049905491,0.573572933522
CHN001008,CN,CN.AH,,147295,898,12987,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Huainan,,,,,,CHN001008,,2020-09-10,,2,2.21691413196,0.199664136922
CHN001007,CN,CN.AH,,147295,898,12989,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Huaibei,,,,,,CHN001007,,2020-09-10,,2,2.42401522057,0.222556168004
CHN001001,CN,CN.AH,,147295,898,12991,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Anqing,,,,,,CHN001001,,2020-09-10,,2,6.02749333427,1.46903576316
CHN001012,CN,CN.AH,,147295,898,12994,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Name Unknown,,,,,,CHN001012,,2020-09-10,,2,7.15325894294,1.80645713383
CHN001013,CN,CN.AH,,147295,898,12995,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Suzhou,,,,,,CHN001013,,2020-09-10,,2,6.48947195571,1.01359313136
CHN001010,CN,CN.AH,,147295,898,12996,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Lu'an,,,,,,CHN001010,,2020-09-10,,2,7.49579073639,1.77891141049
CHN001003,CN,CN.AH,,147295,898,12998,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Chaohu,,,,,,CHN001003,,2020-09-10,,2,4.64343220765,0.890560127641
CHN001004,CN,CN.AH,,147295,898,12999,CHN,China,Anhui Sheng,Anhui,,,,,CHN001,,Chizhou,,,,,,CHN001004,,2020-09-10,,2,4.73270985865,0.785160464914
CHN007011,CN,CN.GX,,147295,904,13049,CHN,China,Guangxi Zhuangzu Zizhiqu,Guangxi Zhuang,,,,,CHN007,,Nanning,,,,,,CHN007011,,2020-09-10,,2,5.01757768768,0.886167292176
CHN007010,CN,CN.GX,,147295,904,13050,CHN,China,Guangxi Zhuangzu Zizhiqu,Guangxi Zhuang,,,,,CHN007,,Liuzhou,,,,,,CHN007010,,2020-09-10,,2,3.54871322063,0.472291329039
CHN007003,CN,CN.GX,,147295,904,13058,CHN,China,Guangxi Zhuangzu Zizhiqu,Guangxi Zhuang,,,,,CHN007,,Chongzuo,,,,,,CHN007003,,2020-09-10,,2,14.7088521317,2.65403714049
CHN007009,CN,CN.GX,,147295,904,13059,CHN,China,Guangxi Zhuangzu Zizhiqu,Guangxi Zhuang,,,,,CHN007,,Laibin,,,,,,CHN007009,,2020-09-10,,2,12.8161253516,2.37605305789
CHN007007,CN,CN.GX,,147295,904,13062,CHN,China,Guangxi Zhuangzu Zizhiqu,Guangxi Zhuang,,,,,CHN007,,Hechi,,,,,,CHN007007,,2020-09-10,,2,9.58326604452,2.94569223272
CHN010005,CN,CN.HB,,147295,907,13085,CHN,China,Hebei Sheng,Hebei,,,,,CHN010,,Hengshui,,,,,,CHN010005,,2020-09-10,,2,4.59971432151,0.898444947768
CHN011003,CN,CN.HL,,147295,908,13086,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Harbin,,,,,,CHN011003,,2020-09-10,,2,14.5336984094,6.09450734854
CHN011009,CN,CN.HL,,147295,908,13087,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Qiqihar,,,,,,CHN011009,,2020-09-10,,2,15.7085653233,5.09026598858
CHN011004,CN,CN.HL,,147295,908,13089,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Hegang,,,,,,CHN011004,,2020-09-10,,2,8.40073812686,1.70040324782
CHN011001,CN,CN.HL,,147295,908,13091,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Daqing,,,,,,CHN011001,,2020-09-10,,2,9.34512686741,2.41163478884
CHN011013,CN,CN.HL,,147295,908,13092,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Yichun,,,,,,CHN011013,,2020-09-10,,2,13.5427858259,3.85773546278
CHN011010,CN,CN.HL,,147295,908,13094,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Qitaihe,,,,,,CHN011010,,2020-09-10,,2,4.04315809719,0.587067938376
CHN011008,CN,CN.HL,,147295,908,13095,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Mudanjiang,,,,,,CHN011008,,2020-09-10,,2,12.5701022813,4.44226754251
CHN011005,CN,CN.HL,,147295,908,13096,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Heihe,,,,,,CHN011005,,2020-09-10,,2,17.0993763253,8.27743732418
CHN011012,CN,CN.HL,,147295,908,13097,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Suihua,,,,,,CHN011012,,2020-09-10,,2,13.9590710922,4.11019178571
CHN011002,CN,CN.HL,,147295,908,13098,CHN,China,Heilongjiang Sheng,Heilongjiang,,,,,CHN011,,Daxing'anling,,,,,,CHN011002,,2020-09-10,,2,18.81421665,8.36490610751
CHN017003,CN,CN.JL,,147295,915,13168,CHN,China,Jilin Sheng,Jilin,,,,,CHN017,,Changchun,,,,,,CHN017003,,2020-09-10,,2,8.92488768909,2.31152777564
CHN017004,CN,CN.JL,,147295,915,13169,CHN,China,Jilin Sheng,Jilin,,,,,CHN017,,Jilin,,,,,,CHN017004,,2020-09-10,,2,8.86463741262,3.12269496955
CHN017006,CN,CN.JL,,147295,915,13170,CHN,China,Jilin Sheng,Jilin,,,,,CHN017,,Siping,,,,,,CHN017006,,2020-09-10,,2,7.9863636279,1.64559044432
CHN017005,CN,CN.JL,,147295,915,13171,CHN,China,Jilin Sheng,Jilin,,,,,CHN017,,Liaoyuan,,,,,,CHN017005,,2020-09-10,,2,3.38527836717,0.551419275103
CHN017008,CN,CN.JL,,147295,915,13172,CHN,China,Jilin Sheng,Jilin,,,,,CHN017,,Tonghua,,,,,,CHN017008,,2020-09-10,,2,7.97980307591,1.70372196219
CHN017002,CN,CN.JL,,147295,915,13173,CHN,China,Jilin Sheng,Jilin,,,,,CHN017,,Baishan,,,,,,CHN017002,,2020-09-10,,2,9.19510795564,1.90716608737
CHN017007,CN,CN.JL,,147295,915,13174,CHN,China,Jilin Sheng,Jilin,,,,,CHN017,,Songyuan,,,,,,CHN017007,,2020-09-10,,2,8.86928275479,2.38091772856
CHN017009,CN,CN.JL,,147295,915,13176,CHN,China,Jilin Sheng,Jilin,,,,,CHN017,,Yanbian Korean,,,,,,CHN017009,,2020-09-10,,2,17.4885520142,4.85069013122
CHN015010,CN,CN.JS,,147295,913,13146,CHN,China,Jiangsu Sheng,Jiangsu,,,,,CHN015,,Xuzhou,,,,,,CHN015010,,2020-09-10,,2,6.87689379614,1.08228271603
CHN018013,CN,CN.LN,,147295,916,13177,CHN,China,Liaoning Sheng,Liaoning,,,,,CHN018,,Shenyang,,,,,,CHN018013,,2020-09-10,,2,6.74581525191,1.41654637958
CHN018006,CN,CN.LN,,147295,916,13180,CHN,China,Liaoning Sheng,Liaoning,,,,,CHN018,,Fushun,,,,,,CHN018006,,2020-09-10,,2,5.90234560834,1.24261673058
CHN018002,CN,CN.LN,,147295,916,13181,CHN,China,Liaoning Sheng,Liaoning,,,,,CHN018,,Benxi,,,,,,CHN018002,,2020-09-10,,2,6.23251174694,0.882207863376
CHN018005,CN,CN.LN,,147295,916,13182,CHN,China,Liaoning Sheng,Liaoning,,,,,CHN018,,Dandong,,,,,,CHN018005,,2020-09-10,,2,10.0063038963,1.56514996215
CHN018010,CN,CN.LN,,147295,916,13186,CHN,China,Liaoning Sheng,Liaoning,,,,,CHN018,,Liaoyang,,,,,,CHN018010,,2020-09-10,,2,3.75172371292,0.509504413782
CHN018014,CN,CN.LN,,147295,916,13188,CHN,China,Liaoning Sheng,Liaoning,,,,,CHN018,,Tieling,,,,,,CHN018014,,2020-09-10,,2,6.63701218009,1.44463918885
CHN023005,CN,CN.SD,,147295,921,13225,CHN,China,Shandong Sheng,Shandong,,,,,CHN023,,Jinan,,,,,,CHN023005,,2020-09-10,,2,5.93096212921,0.790013147421
CHN023016,CN,CN.SD,,147295,921,13228,CHN,China,Shandong Sheng,Shandong,,,,,CHN023,,Zaozhuang,,,,,,CHN023016,,2020-09-10,,2,3.09553864594,0.445132525231
CHN023006,CN,CN.SD,,147295,921,13232,CHN,China,Shandong Sheng,Shandong,,,,,CHN023,,Jining,,,,,,CHN023006,,2020-09-10,,2,7.09253071944,1.11865554611
CHN023012,CN,CN.SD,,147295,921,13233,CHN,China,Shandong Sheng,Shandong,,,,,CHN023,,Tai'an,,,,,,CHN023012,,2020-09-10,,2,5.57412345091,0.774377655533
CHN023007,CN,CN.SD,,147295,921,13236,CHN,China,Shandong Sheng,Shandong,,,,,CHN023,,Laiwu,,,,,,CHN023007,,2020-09-10,,2,1.97221350761,0.211282010594
CHN023002,CN,CN.SD,,147295,921,13238,CHN,China,Shandong Sheng,Shandong,,,,,CHN023,,Dezhou,,,,,,CHN023002,,2020-09-10,,2,6.79542923196,1.07131045154
CHN023008,CN,CN.SD,,147295,921,13239,CHN,China,Shandong Sheng,Shandong,,,,,CHN023,,Liaocheng,,,,,,CHN023008,,2020-09-10,,2,4.4848500144,0.867797523048
