"gaul1_code","map_code","gaul0_name","gaul1_name","continent","disp_en"
"3439","FRA","France","Nouvelle-Aquitaine","Europe","Nouvelle-Aquitaine, France"
"4108","ATA","Antarctica","Administrative Unit Not Available","--","Antarctica"
"1484","MOZ","Mozambique","Cabo Delgado","Africa","Cabo Delgado, Mozambique"
"3669","NLD","Netherlands (Kingdom of the)","Overijssel","Europe","Overijssel, Netherlands (Kingdom of the)"
"3253","VNM","Viet Nam","Quang Ninh","Asia","Quang Ninh, Viet Nam"
"1699","TZA","United Republic of Tanzania","Mwanza","Africa","Mwanza, United Republic of Tanzania"
"2139","MEX","Mexico","Quintana Roo","America","Quintana Roo, Mexico"
"3067","THA","Thailand","Satun","Asia","Satun, Thailand"
"1457","MRT","Mauritania","Nouakchott-Sud","Africa","Nouakchott-Sud, Mauritania"
"2184","PRY","Paraguay","Amambay","America","Amambay, Paraguay"
"1107","BFA","Burkina Faso","Centre-Sud","Africa","Centre-Sud, Burkina Faso"
"3842","SRB","Serbia","Raški","Europe","Raški, Serbia"
"2094","HND","Honduras","Ocotepeque","America","Ocotepeque, Honduras"
"2868","MNG","Mongolia","Dornogovi","Asia","Dornogovi, Mongolia"
"1675","UGA","Uganda","Central","Africa","Central, Uganda"
"3614","LIE","Liechtenstein","Ruggell","Europe","Ruggell, Liechtenstein"
"1844","BRA","Brazil","Alagoas","America","Alagoas, Brazil"
"3270","YEM","Yemen","Aden","Asia","Aden, Yemen"
"2952","KOR","Republic Of Korea","Taejon","Asia","Taejon, Republic Of Korea"
"2548","CHN","China","Jilin Province","Asia","Jilin Province, China"
"2744","JPN","Japan","Tokushima","Asia","Tokushima, Japan"
"3829","SRB","Serbia","Jablanički","Europe","Jablanički, Serbia"
"2920","PHL","Philippines","Region Iv-A (Calabarzon)","Asia","Region Iv-A (Calabarzon), Philippines"
"4029","NFK","Norfolk Island","Administrative Unit Not Available","Oceania","Norfolk Island"
"2594","IND","India","Jharkhand","Asia","Jharkhand, India"
"3070","THA","Thailand","Songkhla","Asia","Songkhla, Thailand"
"3771","MDA","Republic of Moldova","Transnistria","Europe","Transnistria, Republic of Moldova"
"1709","TZA","United Republic of Tanzania","Tanga","Africa","Tanga, United Republic of Tanzania"
"3462","DEU","Germany","Hessen","Europe","Hessen, Germany"
"2286","TTO","Trinidad And Tobago","Princes Town","America","Princes Town, Trinidad And Tobago"
"1092","BWA","Botswana","Lobatse","Africa","Lobatse, Botswana"
"2781","KAZ","Kazakhstan","Shymkent","Asia","Shymkent, Kazakhstan"
"3629","LTU","Lithuania","Šiaulių apskr.","Europe","Šiaulių apskr., Lithuania"
"3676","MKD","North Macedonia","Polog","Europe","Polog, North Macedonia"
"1165","TCD","Chad","Guéra","Africa","Guéra, Chad"
"2810","LAO","Lao People's Democratic Republic","Salavan","Asia","Salavan, Lao People's Democratic Republic"
"1565","SEN","Senegal","Dakar","Africa","Dakar, Senegal"
"2971","SGP","Singapore","Hougang","Asia","Hougang, Singapore"
"2786","xKI","Kuril Islands","Administrative Unit Not Available","Asia","Kuril Islands"
"4037","PNG","Papua New Guinea","Eastern Highlands Province","Oceania","Eastern Highlands Province, Papua New Guinea"
"2179","PAN","Panama","Panamá","America","Panamá, Panama"
"3419","EST","Estonia","Tartu maakond","Europe","Tartu maakond, Estonia"
"3039","THA","Thailand","Narathiwat","Asia","Narathiwat, Thailand"
"1084","BWA","Botswana","Chobe","Africa","Chobe, Botswana"
"1405","LSO","Lesotho","Mohale'S Hoek","Africa","Mohale'S Hoek, Lesotho"
"2831","MYS","Malaysia","Pahang","Asia","Pahang, Malaysia"
"3702","POL","Poland","Opolskie","Europe","Opolskie, Poland"
"3966","UKR","Ukraine","Sumska","Europe","Sumska, Ukraine"
"2797","KGZ","Kyrgyzstan","Naryn","Asia","Naryn, Kyrgyzstan"
"1120","BDI","Burundi","Karuzi","Africa","Karuzi, Burundi"
"3836","SRB","Serbia","Nišavski","Europe","Nišavski, Serbia"
"1424","LBR","Liberia","Sinoe","Africa","Sinoe, Liberia"
"3999","KIR","Kiribati","Central","Oceania","Central, Kiribati"
"2129","MEX","Mexico","Hidalgo","America","Hidalgo, Mexico"
"2595","IND","India","Karnataka","Asia","Karnataka, India"
"2788","KWT","Kuwait","Al Farwaniyah","Asia","Al Farwaniyah, Kuwait"
"4082","TUV","Tuvalu","Funafuti","Oceania","Funafuti, Tuvalu"
"2765","KAZ","Kazakhstan","Abay Region","Asia","Abay Region, Kazakhstan"
"3821","RUS","Russian Federation","South federal district","Europe","South federal district, Russian Federation"
"3177","TUR","Türkiye","Trabzon","Asia","Trabzon, Türkiye"
"3666","NLD","Netherlands (Kingdom of the)","Limburg","Europe","Limburg, Netherlands (Kingdom of the)"
"3880","ESP","Spain","Andalucía","Europe","Andalucía, Spain"
"1133","CPV","Cabo Verde","Boavista","Africa","Boavista, Cabo Verde"
"2046","GTM","Guatemala","Huehuetenango","America","Huehuetenango, Guatemala"
"2824","LBN","Lebanon","North","Asia","North, Lebanon"
"3097","TKM","Turkmenistan","Ahal","Asia","Ahal, Turkmenistan"
"3372","HRV","Croatia","Slavonski Brod","Europe","Slavonski Brod, Croatia"
"3732","PRT","Portugal","Setúbal","Europe","Setúbal, Portugal"
"3098","TKM","Turkmenistan","Balkan","Asia","Balkan, Turkmenistan"
"3658","MNE","Montenegro","Tivat","Europe","Tivat, Montenegro"
"3672","NLD","Netherlands (Kingdom of the)","Zuid-Holland","Europe","Zuid-Holland, Netherlands (Kingdom of the)"
"3711","POL","Poland","Świętokrzyskie","Europe","Świętokrzyskie, Poland"
"1952","CRI","Costa Rica","San José","America","San José, Costa Rica"
"2558","CHN","China","Tibet Autonomous Region","Asia","Tibet Autonomous Region, China"
"1591","SOM","Somalia","Banadir","Africa","Banadir, Somalia"
"1126","BDI","Burundi","Muyinga","Africa","Muyinga, Burundi"
"2918","PHL","Philippines","Region Ii (Cagayan Valley)","Asia","Region Ii (Cagayan Valley), Philippines"
"1048","DZA","Algeria","Tlemcen","Africa","Tlemcen, Algeria"
"3354","BGR","Bulgaria","Targovishte","Europe","Targovishte, Bulgaria"
"2904","OMN","Oman","Muscat","Asia","Muscat, Oman"
"2679","IRN","Iran (Islamic Republic Of)","Yazd","Asia","Yazd, Iran (Islamic Republic Of)"
"1200","CIV","Côte D'Ivoire","Comoé","Africa","Comoé, Côte D'Ivoire"
"2070","GUY","Guyana","Upper Takutu-Upper Essequibo","America","Upper Takutu-Upper Essequibo, Guyana"
"1788","BHS","Bahamas","Inagua","America","Inagua, Bahamas"
"3309","AND","Andorra","Sant Julia De Loria","Europe","Sant Julia De Loria, Andorra"
"2872","MNG","Mongolia","Khentii","Asia","Khentii, Mongolia"
"3736","PRT","Portugal","Évora","Europe","Évora, Portugal"
"3868","SVN","Slovenia","Gorenjska","Europe","Gorenjska, Slovenia"
"2164","NIC","Nicaragua","Nueva Segovia","America","Nueva Segovia, Nicaragua"
"2997","SYR","Syrian Arab Republic","Lattakia","Asia","Lattakia, Syrian Arab Republic"
"3752","MDA","Republic of Moldova","Edinet","Europe","Edinet, Republic of Moldova"
"1963","CUB","Cuba","Matanzas","America","Matanzas, Cuba"
"3592","JEY","Jersey","Brelade","Europe","Brelade, Jersey"
"1681","TZA","United Republic of Tanzania","Dodoma","Africa","Dodoma, United Republic of Tanzania"
"2821","LBN","Lebanon","Bekaa","Asia","Bekaa, Lebanon"
"1835","BOL","Bolivia (Plurinational State of)","Oruro","America","Oruro, Bolivia (Plurinational State of)"
"3136","TUR","Türkiye","Giresun","Asia","Giresun, Türkiye"
"1783","BHS","Bahamas","East Grand Bahama","America","East Grand Bahama, Bahamas"
"2882","MNG","Mongolia","Ömnögovi","Asia","Ömnögovi, Mongolia"
"1579","SEN","Senegal","Ziguinchor","Africa","Ziguinchor, Senegal"
"2908","PAK","Pakistan","Punjab","Asia","Punjab, Pakistan"
"2731","JPN","Japan","Nagano","Asia","Nagano, Japan"
"2683","IRQ","Iraq","Al-Muthanna","Asia","Al-Muthanna, Iraq"
"2773","KAZ","Kazakhstan","Jambyl Region","Asia","Jambyl Region, Kazakhstan"
"3275","YEM","Yemen","Al Mahwit","Asia","Al Mahwit, Yemen"
"2474","BGD","Bangladesh","Dhaka","Asia","Dhaka, Bangladesh"
"3052","THA","Thailand","Phra Nakhon Si Ayutthaya","Asia","Phra Nakhon Si Ayutthaya, Thailand"
"3579","ITA","Italy","Liguria","Europe","Liguria, Italy"
"1877","CAN","Canada","Alberta","America","Alberta, Canada"
"3884","ESP","Spain","Castilla y León","Europe","Castilla y León, Spain"
"2106","JAM","Jamaica","Saint Catherine","America","Saint Catherine, Jamaica"
"1638","SDN","Sudan","River Nile","Africa","River Nile, Sudan"
"2813","LAO","Lao People's Democratic Republic","Vientiane Capital","Asia","Vientiane Capital, Lao People's Democratic Republic"
"3012","THA","Thailand","Chachoengsao","Asia","Chachoengsao, Thailand"
"2143","MEX","Mexico","Tabasco","America","Tabasco, Mexico"
"3781","ROU","Romania","Braila","Europe","Braila, Romania"
"2250","LCA","Saint Lucia","Castries","America","Castries, Saint Lucia"
"1516","NER","Niger","Zinder","Africa","Zinder, Niger"
"3074","THA","Thailand","Surin","Asia","Surin, Thailand"
"2019","SLV","El Salvador","La Unión","America","La Unión, El Salvador"
"3318","AUT","Austria","Wien","Europe","Wien, Austria"
"1293","ETH","Ethiopia","Dire Dawa","Africa","Dire Dawa, Ethiopia"
"1431","MDG","Madagascar","Mahajanga","Africa","Mahajanga, Madagascar"
"2819","LBN","Lebanon","Baalbek-El Hermel","Asia","Baalbek-El Hermel, Lebanon"
"1939","COL","Colombia","San Andres Y Providencia","America","San Andres Y Providencia, Colombia"
"1381","KEN","Kenya","Murang'A","Africa","Murang'A, Kenya"
"1826","BMU","Bermuda","Saint George'S","America","Saint George'S, Bermuda"
"1278","GNQ","Equatorial Guinea","Wele-Nzas","Africa","Wele-Nzas, Equatorial Guinea"
"1347","GNB","Guinea-Bissau","Sector Autonomo De Bissau","Africa","Sector Autonomo De Bissau, Guinea-Bissau"
"4066","SLB","Solomon Islands","Central","Oceania","Central, Solomon Islands"
"3643","MNE","Montenegro","Bijelo Polje","Europe","Bijelo Polje, Montenegro"
"3081","THA","Thailand","Uttaradit","Asia","Uttaradit, Thailand"
"1568","SEN","Senegal","Kaffrine","Africa","Kaffrine, Senegal"
"2489","BTN","Bhutan","Punakha","Asia","Punakha, Bhutan"
"1451","MRT","Mauritania","Guidimakha","Africa","Guidimakha, Mauritania"
"1508","NAM","Namibia","Zambezi","Africa","Zambezi, Namibia"
"2802","LAO","Lao People's Democratic Republic","Bolikhamxai","Asia","Bolikhamxai, Lao People's Democratic Republic"
"3003","TJK","Tajikistan","Dushanbe","Asia","Dushanbe, Tajikistan"
"2409","AFG","Afghanistan","Hirat","Asia","Hirat, Afghanistan"
"3093","TLS","Timor-Leste","Manatuto","Asia","Manatuto, Timor-Leste"
"3353","BGR","Bulgaria","Stara Zagora","Europe","Stara Zagora, Bulgaria"
"3719","PRT","Portugal","Guarda","Europe","Guarda, Portugal"
"3521","ISL","Iceland","Vesturland","Europe","Vesturland, Iceland"
