gaul2_code,map_code,gaul0_name,gaul1_name,gaul2_name,continent,disp_en
106380,TZA,United Republic of Tanzania,Arusha,Arumeru,Africa,"Arumeru, Arusha, United Republic of Tanzania"
106381,TZA,United Republic of Tanzania,Arusha,Arusha,Africa,"Arusha, Arusha, United Republic of Tanzania"
106382,TZA,United Republic of Tanzania,Arusha,Karatu,Africa,"Karatu, Arusha, United Republic of Tanzania"
106383,TZA,United Republic of Tanzania,Arusha,Longido,Africa,"Longido, Arusha, United Republic of Tanzania"
106384,TZA,United Republic of Tanzania,Arusha,Monduli,Africa,"Monduli, Arusha, United Republic of Tanzania"
106385,TZA,United Republic of Tanzania,Arusha,Ngorongoro,Africa,"Ngorongoro, Arusha, United Republic of Tanzania"
900016,TZA,United Republic of Tanzania,Arusha,Waterbody,Africa,"Waterbody, Arusha, United Republic of Tanzania"
106386,TZA,United Republic of Tanzania,Dar Es Salaam,Ilala,Africa,"Ilala, Dar Es Salaam, United Republic of Tanzania"
106387,TZA,United Republic of Tanzania,Dar Es Salaam,Kigamboni,Africa,"Kigamboni, Dar Es Salaam, United Republic of Tanzania"
106388,TZA,United Republic of Tanzania,Dar Es Salaam,Kinondoni,Africa,"Kinondoni, Dar Es Salaam, United Republic of Tanzania"
106389,TZA,United Republic of Tanzania,Dar Es Salaam,Temeke,Africa,"Temeke, Dar Es Salaam, United Republic of Tanzania"
106390,TZA,United Republic of Tanzania,Dar Es Salaam,Ubungo,Africa,"Ubungo, Dar Es Salaam, United Republic of Tanzania"
106391,TZA,United Republic of Tanzania,Dodoma,Bahi,Africa,"Bahi, Dodoma, United Republic of Tanzania"
106392,TZA,United Republic of Tanzania,Dodoma,Chamwino,Africa,"Chamwino, Dodoma, United Republic of Tanzania"
106393,TZA,United Republic of Tanzania,Dodoma,Chemba,Africa,"Chemba, Dodoma, United Republic of Tanzania"
106394,TZA,United Republic of Tanzania,Dodoma,Dodoma,Africa,"Dodoma, Dodoma, United Republic of Tanzania"
106395,TZA,United Republic of Tanzania,Dodoma,Kondoa,Africa,"Kondoa, Dodoma, United Republic of Tanzania"
106396,TZA,United Republic of Tanzania,Dodoma,Kongwa,Africa,"Kongwa, Dodoma, United Republic of Tanzania"
106397,TZA,United Republic of Tanzania,Dodoma,Mpwapwa,Africa,"Mpwapwa, Dodoma, United Republic of Tanzania"
106398,TZA,United Republic of Tanzania,Geita,Bukombe,Africa,"Bukombe, Geita, United Republic of Tanzania"
106399,TZA,United Republic of Tanzania,Geita,Chato,Africa,"Chato, Geita, United Republic of Tanzania"
106400,TZA,United Republic of Tanzania,Geita,Geita,Africa,"Geita, Geita, United Republic of Tanzania"
106402,TZA,United Republic of Tanzania,Geita,Nyang'Hwale,Africa,"Nyang'Hwale, Geita, United Republic of Tanzania"
900017,TZA,United Republic of Tanzania,Geita,Waterbody,Africa,"Waterbody, Geita, United Republic of Tanzania"
106403,TZA,United Republic of Tanzania,Iringa,Iringa,Africa,"Iringa, Iringa, United Republic of Tanzania"
106404,TZA,United Republic of Tanzania,Iringa,Kilolo,Africa,"Kilolo, Iringa, United Republic of Tanzania"
106405,TZA,United Republic of Tanzania,Iringa,Mufindi,Africa,"Mufindi, Iringa, United Republic of Tanzania"
106406,TZA,United Republic of Tanzania,Kagera,Biharamulo,Africa,"Biharamulo, Kagera, United Republic of Tanzania"
106407,TZA,United Republic of Tanzania,Kagera,Bukoba,Africa,"Bukoba, Kagera, United Republic of Tanzania"
106408,TZA,United Republic of Tanzania,Kagera,Karagwe,Africa,"Karagwe, Kagera, United Republic of Tanzania"
106409,TZA,United Republic of Tanzania,Kagera,Kyerwa,Africa,"Kyerwa, Kagera, United Republic of Tanzania"
106410,TZA,United Republic of Tanzania,Kagera,Missenyi,Africa,"Missenyi, Kagera, United Republic of Tanzania"
106411,TZA,United Republic of Tanzania,Kagera,Muleba,Africa,"Muleba, Kagera, United Republic of Tanzania"
106412,TZA,United Republic of Tanzania,Kagera,Ngara,Africa,"Ngara, Kagera, United Republic of Tanzania"
900018,TZA,United Republic of Tanzania,Kagera,Waterbody,Africa,"Waterbody, Kagera, United Republic of Tanzania"
106413,TZA,United Republic of Tanzania,Kaskazini Pemba,Micheweni,Africa,"Micheweni, Kaskazini Pemba, United Republic of Tanzania"
106414,TZA,United Republic of Tanzania,Kaskazini Pemba,Wete,Africa,"Wete, Kaskazini Pemba, United Republic of Tanzania"
106415,TZA,United Republic of Tanzania,Kaskazini Unguja,Kaskazini A,Africa,"Kaskazini A, Kaskazini Unguja, United Republic of Tanzania"
106416,TZA,United Republic of Tanzania,Kaskazini Unguja,Kaskazini B,Africa,"Kaskazini B, Kaskazini Unguja, United Republic of Tanzania"
106417,TZA,United Republic of Tanzania,Katavi,Mlele,Africa,"Mlele, Katavi, United Republic of Tanzania"
106418,TZA,United Republic of Tanzania,Katavi,Mpanda,Africa,"Mpanda, Katavi, United Republic of Tanzania"
106419,TZA,United Republic of Tanzania,Katavi,Tanganyika,Africa,"Tanganyika, Katavi, United Republic of Tanzania"
106401,TZA,United Republic of Tanzania,Geita,Mbogwe,Africa,"Mbogwe, Geita, United Republic of Tanzania"
900019,TZA,United Republic of Tanzania,Katavi,Waterbody,Africa,"Waterbody, Katavi, United Republic of Tanzania"
106420,TZA,United Republic of Tanzania,Kigoma,Buhigwe,Africa,"Buhigwe, Kigoma, United Republic of Tanzania"
106421,TZA,United Republic of Tanzania,Kigoma,Kakonko,Africa,"Kakonko, Kigoma, United Republic of Tanzania"
106422,TZA,United Republic of Tanzania,Kigoma,Kasulu,Africa,"Kasulu, Kigoma, United Republic of Tanzania"
106423,TZA,United Republic of Tanzania,Kigoma,Kibondo,Africa,"Kibondo, Kigoma, United Republic of Tanzania"
106424,TZA,United Republic of Tanzania,Kigoma,Kigoma,Africa,"Kigoma, Kigoma, United Republic of Tanzania"
106425,TZA,United Republic of Tanzania,Kigoma,Uvinza,Africa,"Uvinza, Kigoma, United Republic of Tanzania"
900020,TZA,United Republic of Tanzania,Kigoma,Waterbody,Africa,"Waterbody, Kigoma, United Republic of Tanzania"
106426,TZA,United Republic of Tanzania,Kilimanjaro,Hai,Africa,"Hai, Kilimanjaro, United Republic of Tanzania"
106427,TZA,United Republic of Tanzania,Kilimanjaro,Moshi,Africa,"Moshi, Kilimanjaro, United Republic of Tanzania"
106428,TZA,United Republic of Tanzania,Kilimanjaro,Mwanga,Africa,"Mwanga, Kilimanjaro, United Republic of Tanzania"
106429,TZA,United Republic of Tanzania,Kilimanjaro,Rombo,Africa,"Rombo, Kilimanjaro, United Republic of Tanzania"
106430,TZA,United Republic of Tanzania,Kilimanjaro,Same,Africa,"Same, Kilimanjaro, United Republic of Tanzania"
106431,TZA,United Republic of Tanzania,Kilimanjaro,Siha,Africa,"Siha, Kilimanjaro, United Republic of Tanzania"
106432,TZA,United Republic of Tanzania,Kusini Pemba,Chake Chake,Africa,"Chake Chake, Kusini Pemba, United Republic of Tanzania"
106433,TZA,United Republic of Tanzania,Kusini Pemba,Mkoani,Africa,"Mkoani, Kusini Pemba, United Republic of Tanzania"
106434,TZA,United Republic of Tanzania,Kusini Unguja,Kati,Africa,"Kati, Kusini Unguja, United Republic of Tanzania"
106435,TZA,United Republic of Tanzania,Kusini Unguja,Kusini,Africa,"Kusini, Kusini Unguja, United Republic of Tanzania"
106436,TZA,United Republic of Tanzania,Lindi,Kilwa,Africa,"Kilwa, Lindi, United Republic of Tanzania"
106437,TZA,United Republic of Tanzania,Lindi,Lindi,Africa,"Lindi, Lindi, United Republic of Tanzania"
106438,TZA,United Republic of Tanzania,Lindi,Liwale,Africa,"Liwale, Lindi, United Republic of Tanzania"
106439,TZA,United Republic of Tanzania,Lindi,Nachingwea,Africa,"Nachingwea, Lindi, United Republic of Tanzania"
106440,TZA,United Republic of Tanzania,Lindi,Ruangwa,Africa,"Ruangwa, Lindi, United Republic of Tanzania"
106441,TZA,United Republic of Tanzania,Manyara,Babati,Africa,"Babati, Manyara, United Republic of Tanzania"
106442,TZA,United Republic of Tanzania,Manyara,Hanang,Africa,"Hanang, Manyara, United Republic of Tanzania"
106443,TZA,United Republic of Tanzania,Manyara,Kiteto,Africa,"Kiteto, Manyara, United Republic of Tanzania"
106444,TZA,United Republic of Tanzania,Manyara,Mbulu,Africa,"Mbulu, Manyara, United Republic of Tanzania"
106445,TZA,United Republic of Tanzania,Manyara,Simanjiro,Africa,"Simanjiro, Manyara, United Republic of Tanzania"
900021,TZA,United Republic of Tanzania,Manyara,Waterbody,Africa,"Waterbody, Manyara, United Republic of Tanzania"
